ticker,name,sector,cik
MMM,3M,Industrials,0000066740
AOS,A. O. Smith,Industrials,0000091142
ABT,Abbott Laboratories,Health Care,0000001800
ABBV,AbbVie,Health Care,0001551152
ACN,Accenture,Information Technology,0001467373
ADBE,Adobe Inc.,Information Technology,0000796343
AMD,Advanced Micro Devices,Information Technology,0000002488
AES,AES Corporation,Utilities,0000874761
AFL,Aflac,Financials,0000004977
A,Agilent Technologies,Health Care,0001090872
APD,Air Products,Materials,0000002969
ABNB,Airbnb,Consumer Discretionary,0001559720
AKAM,Akamai Technologies,Information Technology,0001086222
ALB,Albemarle Corporation,Materials,0000915913
ARE,Alexandria Real Estate Equities,Real Estate,0001035443
ALGN,Align Technology,Health Care,0001097149
ALLE,Allegion,Industrials,0001579241
LNT,Alliant Energy,Utilities,0000352541
ALL,Allstate,Financials,0000899051
GOOGL,Alphabet Inc. (Class A),Communication Services,0001652044
GOOG,Alphabet Inc. (Class C),Communication Services,0001652044
MO,Altria,Consumer Staples,0000764180
AMZN,Amazon,Consumer Discretionary,0001018724
AMCR,Amcor,Materials,0001748790
AEE,Ameren,Utilities,0001002910
AEP,American Electric Power,Utilities,0000004904
AXP,American Express,Financials,0000004962
AIG,American International Group,Financials,0000005272
AMT,American Tower,Real Estate,0001053507
AWK,American Water Works,Utilities,0001410636
AMP,Ameriprise Financial,Financials,0000820027
AME,Ametek,Industrials,0001037868
AMGN,Amgen,Health Care,0000318154
APH,Amphenol,Information Technology,0000820313
ADI,Analog Devices,Information Technology,0000006281
AON,Aon plc,Financials,0000315293
APA,APA Corporation,Energy,0001841666
APO,Apollo Global Management,Financials,0001858681
AAPL,Apple Inc.,Information Technology,0000320193
AMAT,Applied Materials,Information Technology,0000006951
APP,AppLovin,Communication Services,0001751008
APTV,Aptiv,Consumer Discretionary,0001521332
ACGL,Arch Capital Group,Financials,0000947484
ADM,Archer Daniels Midland,Consumer Staples,0000007084
ARES,Ares Management,Financials,0001176948
ANET,Arista Networks,Information Technology,0001596532
AJG,Arthur J. Gallagher & Co.,Financials,0000354190
AIZ,Assurant,Financials,0001267238
T,AT&T,Communication Services,0000732717
ATO,Atmos Energy,Utilities,0000731802
ADSK,Autodesk,Information Technology,0000769397
ADP,Automatic Data Processing,Industrials,0000008670
AZO,AutoZone,Consumer Discretionary,0000866787
AVB,AvalonBay Communities,Real Estate,0000915912
AVY,Avery Dennison,Materials,0000008818
AXON,Axon Enterprise,Industrials,0001069183
BKR,Baker Hughes,Energy,0001701605
BALL,Ball Corporation,Materials,0000009389
BAC,Bank of America,Financials,0000070858
BAX,Baxter International,Health Care,0000010456
BDX,Becton Dickinson,Health Care,0000010795
BRK.B,Berkshire Hathaway,Financials,0001067983
BBY,Best Buy,Consumer Discretionary,0000764478
TECH,Bio-Techne,Health Care,0000842023
BIIB,Biogen,Health Care,0000875045
BLK,BlackRock,Financials,0002012383
BX,Blackstone Inc.,Financials,0001393818
XYZ,"Block, Inc.",Financials,0001512673
BNY,BNY Mellon,Financials,0001390777
BA,Boeing,Industrials,0000012927
BKNG,Booking Holdings,Consumer Discretionary,0001075531
BSX,Boston Scientific,Health Care,0000885725
BMY,Bristol Myers Squibb,Health Care,0000014272
AVGO,Broadcom,Information Technology,0001730168
BR,Broadridge Financial Solutions,Industrials,0001383312
BRO,Brown & Brown,Financials,0000079282
BF.B,Brown–Forman,Consumer Staples,0000014693
BLDR,Builders FirstSource,Industrials,0001316835
BG,Bunge Global,Consumer Staples,0001996862
BXP,"BXP, Inc.",Real Estate,0001037540
CHRW,C.H. Robinson,Industrials,0001043277
CDNS,Cadence Design Systems,Information Technology,0000813672
CPT,Camden Property Trust,Real Estate,0000906345
COF,Capital One,Financials,0000927628
CAH,Cardinal Health,Health Care,0000721371
CCL,Carnival Corporation,Consumer Discretionary,0000815097
CARR,Carrier Global,Industrials,0001783180
CVNA,Carvana,Consumer Discretionary,0001690820
CASY,Casey's,Consumer Staples,0000726958
CAT,Caterpillar Inc.,Industrials,0000018230
CBOE,Cboe Global Markets,Financials,0001374310
CBRE,CBRE Group,Real Estate,0001138118
CDW,CDW Corporation,Information Technology,0001402057
COR,Cencora,Health Care,0001140859
CNC,Centene Corporation,Health Care,0001071739
CNP,CenterPoint Energy,Utilities,0001130310
CF,CF Industries,Materials,0001324404
CRL,Charles River Laboratories,Health Care,0001100682
SCHW,Charles Schwab Corporation,Financials,0000316709
CHTR,Charter Communications,Communication Services,0001091667
CVX,Chevron Corporation,Energy,0000093410
CMG,Chipotle Mexican Grill,Consumer Discretionary,0001058090
CB,Chubb Limited,Financials,0000896159
CHD,Church & Dwight,Consumer Staples,0000313927
CIEN,Ciena,Information Technology,0000936395
CI,Cigna,Health Care,0001739940
CINF,Cincinnati Financial,Financials,0000020286
CTAS,Cintas,Industrials,0000723254
CSCO,Cisco,Information Technology,0000858877
C,Citigroup,Financials,0000831001
CFG,Citizens Financial Group,Financials,0000759944
CLX,Clorox,Consumer Staples,0000021076
CME,CME Group,Financials,0001156375
CMS,CMS Energy,Utilities,0000811156
KO,Coca-Cola Company (The),Consumer Staples,0000021344
CTSH,Cognizant,Information Technology,0001058290
COHR,Coherent Corp.,Information Technology,0000820318
COIN,Coinbase,Financials,0001679788
CL,Colgate-Palmolive,Consumer Staples,0000021665
CMCSA,Comcast,Communication Services,0001166691
FIX,Comfort Systems USA,Industrials,0001035983
COP,ConocoPhillips,Energy,0001163165
ED,Consolidated Edison,Utilities,0001047862
STZ,Constellation Brands,Consumer Staples,0000016918
CEG,Constellation Energy,Utilities,0001868275
COO,Cooper Companies (The),Health Care,0000711404
CPRT,Copart,Industrials,0000900075
GLW,Corning Inc.,Information Technology,0000024741
CPAY,Corpay,Financials,0001175454
CTVA,Corteva,Materials,0001755672
CSGP,CoStar Group,Real Estate,0001057352
COST,Costco,Consumer Staples,0000909832
CRH,CRH plc,Materials,0000849395
CRWD,CrowdStrike,Information Technology,0001535527
CCI,Crown Castle,Real Estate,0001051470
CSX,CSX Corporation,Industrials,0000277948
CMI,Cummins,Industrials,0000026172
