market_id,market,report_date,available_from,open_interest,lev_long,lev_short,lev_spread,am_long,am_short,dealer_long,dealer_short,loaded_at
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-01-05,2010-01-08,2537496,317410,564205,147899,1367905,370916,184716,848729,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-01-12,2010-01-15,2591973,309158,640373,160384,1381790,387588,188769,748569,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-01-19,2010-01-22,2597884,346618,662034,133355,1373671,383349,202778,751653,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-01-26,2010-01-29,2801131,438117,801069,194605,1405188,561709,207017,597208,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-02-02,2010-02-05,2877841,491152,820642,191041,1322195,548679,248662,597537,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-02-09,2010-02-12,3036790,615665,832362,195807,1303761,547060,280972,651555,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-02-16,2010-02-19,3015846,616880,854665,185873,1316168,516186,298911,689549,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-02-23,2010-02-26,2980353,626909,875364,149306,1345368,514151,275782,640034,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-03-02,2010-03-05,3011837,632887,885632,179786,1304569,468376,265276,638839,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-03-09,2010-03-12,3140495,631980,894083,209349,1261665,475694,309292,653011,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-03-16,2010-03-19,3784040,642338,892367,286624,1276783,482323,359063,664407,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-03-23,2010-03-26,2486780,274225,752800,144999,1266379,449061,77096,477846,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-03-30,2010-04-02,2574347,277420,788192,172445,1303227,450865,105287,511535,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-04-06,2010-04-09,2569925,293205,773972,177726,1236998,425189,133289,501323,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-04-13,2010-04-16,2614198,290367,794845,186950,1219577,422390,155601,490545,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-04-20,2010-04-23,2648281,306906,775933,160019,1236287,422834,178343,520321,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-04-27,2010-04-30,2768380,359778,844048,194521,1224162,428961,191173,513694,2026-08-04 20:52:24.533665
sp500,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2010-05-04,2010-05-07,2789458,367145,851447,231622,1250650,473400,187623,482834,2026-08-04 20:52:24.533665
